index,time(s),furnanceT(K),sampleT(K),Q(mW),Q_corrected(mW),Fc,Fc_err
6262,105810.9,109.121558,108.73345,-0.536619,-0.049931999999999976,,
6263,105827.8,109.169745,108.735312,-0.555765,-0.06627799999999995,,
6264,105844.7,109.218558,108.738104,-0.597828,-0.11205500000000002,,
6265,105861.6,109.266592,108.741019,-0.634236,-0.14380200000000004,,
6266,105878.5,109.314627,108.743216,-0.670961,-0.17896500000000004,,
6267,105895.4,109.362372,108.746405,-0.707365,-0.22219,,
6268,105912.3,109.409476,108.750388,-0.736855,-0.24763700000000005,,
6269,105929.2,109.455862,108.753394,-0.775141,-0.27691099999999996,,
6270,105946.1,109.501837,108.756964,-0.813734,-0.31766799999999995,,
6271,105963.0,109.547003,108.761542,-0.85954,-0.36563799999999996,,
6272,105979.9,109.591742,108.76528,-0.901268,-0.40425199999999994,,
6273,105996.8,109.634848,108.770026,-0.95052,-0.447909,,
6274,106013.7,109.67771,108.774542,-0.990666,-0.49332500000000007,,
6275,106030.6,109.720435,108.779883,-1.041476,-0.5410210000000001,,
6276,106047.5,109.761298,108.783942,-1.098884,-0.603388,,
6277,106064.4,109.80239,108.789664,-1.148742,-0.672175,,
6278,106081.3,109.842261,108.794348,-1.208019,-0.723061,,
6279,106098.2,109.880591,108.799902,-1.255673,-0.7641870000000001,,
6280,106115.1,109.91886,108.806158,-1.297666,-0.801205,,
6281,106132.0,109.956381,108.811758,-1.347194,-0.846688,,
6282,106148.9,109.993109,108.818152,-1.396709,-0.894332,,
6283,106165.8,110.028891,108.823263,-1.444979,-0.940109,,
6284,106182.7,110.063879,108.830161,-1.503265,-1.002423,,
6285,106199.6,110.099295,108.836173,-1.558732,-1.06782,,
6286,106216.5,110.13349,108.843787,-1.613233,-1.1294529999999998,,
6287,106233.4,110.165732,108.84986,-1.66712,-1.173705,,
6288,106250.3,110.199713,108.856848,-1.71848,-1.224436,,
6289,106267.2,110.231741,108.864233,-1.767007,-1.267676,,
6290,106284.1,110.264105,108.871191,-1.818985,-1.314991,,
6291,106301.0,110.295401,108.878836,-1.865929,-1.3510559999999998,,
6292,106317.9,110.326544,108.885397,-1.911942,-1.393957,,
6293,106334.8,110.357046,108.893271,-1.967967,-1.445939,,
6294,106351.7,110.387549,108.900626,-2.014899,-1.496903,,
6295,106368.6,110.417975,108.908362,-2.067465,-1.546357,,
6296,106385.5,110.447821,108.917013,-2.127222,-1.6023820000000002,,
6297,106402.4,110.47753,108.924582,-2.176955,-1.649625,,
6298,106419.3,110.506171,108.93331,-2.224783,-1.681303,,
6299,106436.2,110.535681,108.940939,-2.28046,-1.7254850000000002,,
6300,106453.1,110.563956,108.94924,-2.327342,-1.7627349999999997,,
6301,106470.0,110.592261,108.957556,-2.368888,-1.798692,,
6302,106486.9,110.620612,108.966452,-2.411987,-1.8374409999999999,,
6303,106503.8,110.648901,108.975348,-2.457587,-1.8712400000000002,,
6304,106520.7,110.676733,108.983603,-2.498491,-1.914007,,
6305,106537.6,110.704138,108.992865,-2.5447,-1.946244,,
6306,106554.5,110.731757,109.002158,-2.593721,-1.992783,,
6307,106571.4,110.759268,109.011343,-2.643991,-2.0275290000000004,,
6308,106588.3,110.787024,109.020346,-2.688618,-2.063153,,
6309,106605.2,110.815176,109.030081,-2.734791,-2.099708,,
6310,106622.1,110.842261,109.038794,-2.778159,-2.133455,,
6311,106639.0,110.868903,109.048331,-2.814612,-2.158737,,
6312,106655.9,110.896521,109.057379,-2.85201,-2.192106,,
6313,106672.8,110.923651,109.067374,-2.887816,-2.222645,,
6314,106689.7,110.950522,109.07717,-2.927693,-2.2557020000000003,,
6315,106706.6,110.977805,109.086813,-2.966002,-2.287815,,
6316,106723.5,111.005255,109.096823,-3.009307,-2.326785,,
6317,106740.4,111.032263,109.106879,-3.051039,-2.35953,,
6318,106757.3,111.060065,109.1173,-3.092444,-2.390082,,
6319,106774.2,111.087744,109.127097,-3.13323,-2.4268520000000002,,
6320,106791.1,111.114645,109.137869,-3.172109,-2.4508419999999997,,
6321,106808.0,111.141852,109.148047,-3.206614,-2.481332,,
6322,106824.9,111.169394,109.158774,-3.237657,-2.505877,,
6323,106841.8,111.196677,109.169073,-3.270583,-2.5375859999999997,,
6324,106858.7,111.224738,109.179495,-3.307883,-2.567767,,
6325,106875.6,111.25202,109.190497,-3.342033,-2.5870439999999997,,
6326,106892.5,111.279257,109.201529,-3.380871,-2.621871,,
6327,106909.4,111.30712,109.21218,-3.419086,-2.657939,,
6328,106926.3,111.334662,109.222861,-3.457919,-2.692455,,
6329,106943.2,111.362235,109.234137,-3.494855,-2.7319039999999997,,
6330,106960.1,111.390463,109.245138,-3.532417,-2.7648420000000002,,
6331,106977.0,111.417899,109.256873,-3.566825,-2.8017640000000004,,
6332,106993.9,111.446249,109.268195,-3.597799,-2.8184910000000003,,
6333,107010.8,111.474112,109.279425,-3.622515,-2.833311,,
6334,107027.7,111.501563,109.29093,-3.652848,-2.85685,,
6335,107044.6,111.529456,109.302283,-3.680366,-2.879749,,
6336,107061.5,111.557044,109.314337,-3.713488,-2.911048,,
6337,107078.4,111.585394,109.325873,-3.748181,-2.941126,,
6338,107095.3,111.612997,109.337851,-3.782543,-2.982973,,
6339,107112.2,111.641348,109.349661,-3.813466,-3.009276,,
6340,107129.1,111.668829,109.361639,-3.850317,-3.044619,,
6341,107146.0,111.697256,109.374228,-3.875268,-3.060613,,
6342,107162.9,111.725867,109.385763,-3.901183,-3.076645,,
6343,107179.8,111.75379,109.398489,-3.926122,-3.0994509999999997,,
6344,107196.7,111.781699,109.410361,-3.958578,-3.1263710000000002,,
6345,107213.6,111.809622,109.422919,-3.989759,-3.1566669999999997,,
6346,107230.5,111.837973,109.435339,-4.018752,-3.1891160000000003,,
6347,107247.4,111.866217,109.448416,-4.044284,-3.2109710000000002,,
6348,107264.3,111.894156,109.460654,-4.079206,-3.245013,,
6349,107281.2,111.922598,109.473486,-4.106921,-3.268744,,
6350,107298.1,111.9504,109.485831,-4.140578,-3.303069,,
6351,107315.0,111.979193,109.499503,-4.17731,-3.332406,,
6352,107331.9,112.007346,109.51235,-4.203758,-3.355809,,
6353,107348.8,112.035498,109.525031,-4.228646,-3.378884,,
6354,107365.7,112.064185,109.538443,-4.253818,-3.398526,,
6355,107382.6,112.091879,109.551642,-4.27712,-3.415992,,
6356,107399.5,112.120413,109.5651,-4.300409,-3.432207,,
6357,107416.4,112.148993,109.578574,-4.335237,-3.464916,,
6358,107433.3,112.176672,109.592169,-4.368807,-3.494826,,
6359,107450.2,112.204825,109.605261,-4.398643,-3.5290559999999997,,
6360,107467.1,112.233328,109.619101,-4.425329,-3.553323,,
6361,107484.0,112.261572,109.63262,-4.454827,-3.5869039999999996,,
6362,107500.9,112.289832,109.646597,-4.47682,-3.609261,,
6363,107517.8,112.318335,109.660147,-4.499446,-3.623894,,
6364,107534.7,112.346487,109.674109,-4.527666,-3.643498,,
6365,107551.6,112.374579,109.688055,-4.556504,-3.668369,,
6366,107568.5,112.402792,109.702017,-4.58253,-3.69043,,
6367,107585.4,112.431509,109.716193,-4.603868,-3.7105900000000003,,
6368,107602.3,112.45954,109.730521,-4.633612,-3.7385400000000004,,
6369,107619.2,112.488272,109.744452,-4.660246,-3.766167,,
6370,107636.1,112.517004,109.758871,-4.696518,-3.8049790000000003,,
6371,107653.0,112.545065,109.773657,-4.71501,-3.8210610000000003,,
6372,107669.9,112.573416,109.786871,-4.748195,-3.853071,,
6373,107686.8,112.601462,109.802222,-4.779429,-3.8716760000000003,,
6374,107703.7,112.630179,109.817282,-4.800388,-3.890844,,
6375,107720.6,112.658011,109.831946,-4.825716,-3.915316,,
6376,107737.5,112.686774,109.846732,-4.842316,-3.9270310000000004,,
6377,107754.4,112.714392,109.861273,-4.86577,-3.9502440000000005,,
6378,107771.3,112.742514,109.876349,-4.893871,-3.9771799999999997,,
6379,107788.2,112.77178,109.891211,-4.921973,-4.0056590000000005,,
6380,107805.1,112.799521,109.905981,-4.95194,-4.037247,,
6381,107822.0,112.827704,109.921591,-4.978134,-4.057636,,
6382,107838.9,112.856284,109.936835,-5.004336,-4.080196000000001,,
6383,107855.8,112.884344,109.951834,-5.028052,-4.09749,,
6384,107872.7,112.912695,109.967139,-5.046463,-4.114433,,
6385,107889.6,112.941153,109.982657,-5.067039,-4.131060000000001,,
6386,107906.5,112.968924,109.997549,-5.091055,-4.153917,,
6387,107923.4,112.996863,110.013373,-5.115653,-4.177973,,
6388,107940.3,113.025473,110.029227,-5.135268,-4.203235,,
6389,107957.2,113.053793,110.044333,-5.164858,-4.228882,,
6390,107974.1,113.082022,110.060904,-5.188789,-4.2485599999999994,,
6391,107991.0,113.110129,110.076254,-5.215869,-4.269233,,
6392,108007.9,113.138861,110.092078,-5.244479,-4.292975,,
6393,108024.8,113.167365,110.108115,-5.269345,-4.314215000000001,,
6394,108041.7,113.195822,110.124197,-5.294514,-4.336686,,
6395,108058.6,113.224158,110.139899,-5.321867,-4.358244,,
6396,108075.5,113.252036,110.155539,-5.343002,-4.382866,,
6397,108092.4,113.280341,110.171835,-5.360379,-4.401566,,
6398,108109.3,113.308844,110.188498,-5.382086,-4.421196,,
6399,108126.2,113.336996,110.204748,-5.397282,-4.434626,,
6400,108143.1,113.365439,110.221274,-5.427058,-4.460158,,
6401,108160.0,113.393607,110.237799,-5.453723,-4.483517,,
6402,108176.9,113.421423,110.253943,-5.47636,-4.504079,,
6403,108193.8,113.449957,110.270667,-5.505798,-4.530827,,
6404,108210.7,113.477774,110.287009,-5.526243,-4.5433330000000005,,
6405,108227.6,113.506735,110.303717,-5.544806,-4.565691,,
6406,108244.5,113.534277,110.32041,-5.560262,-4.581242,,
6407,108261.4,113.56272,110.33718,-5.582537,-4.5989770000000005,,
6408,108278.3,113.59133,110.354086,-5.598906,-4.608033000000001,,
6409,108295.2,113.619696,110.370367,-5.621812,-4.6239360000000005,,
6410,108312.1,113.647864,110.387503,-5.644987,-4.645046000000001,,
6411,108329.0,113.676016,110.405188,-5.671235,-4.668614,,
6412,108345.9,113.704932,110.421576,-5.692258,-4.694056,,
6413,108362.8,113.733054,110.438544,-5.717283,-4.721952,,
6414,108379.7,113.761054,110.455817,-5.743529,-4.7448999999999995,,
6415,108396.6,113.789664,110.472906,-5.765127,-4.76444,,
6416,108413.5,113.817603,110.490332,-5.790114,-4.784283,,
6417,108430.4,113.846564,110.508444,-5.814755,-4.802549,,
6418,108447.3,113.874197,110.525671,-5.8354,-4.81867,,
6419,108464.2,113.902121,110.542761,-5.848921,-4.832599,,
6420,108481.1,113.931219,110.560568,-5.867673,-4.847447,,
6421,108498.0,113.959235,110.577567,-5.884906,-4.862317,,
6422,108514.9,113.988089,110.595282,-5.907988,-4.889513999999999,,
6423,108531.8,114.016333,110.612982,-5.934162,-4.914555999999999,,
6424,108548.7,114.044257,110.631064,-5.957836,-4.937416000000001,,
6425,108565.6,114.072882,110.648901,-5.97687,-4.950084,,
6426,108582.5,114.101126,110.666327,-5.997465,-4.96154,,
6427,108599.4,114.129096,110.683722,-6.014033,-4.975750000000001,,
6428,108616.3,114.157263,110.701895,-6.026849,-4.9892970000000005,,
6429,108633.2,114.186194,110.720373,-6.051097,-5.007181,,
6430,108650.1,114.214117,110.738074,-6.06176,-5.018883,,
6431,108667.0,114.242041,110.755728,-6.079228,-5.043239,,
6432,108683.9,114.270773,110.774451,-6.108396,-5.073133,,
6433,108700.8,114.298483,110.792242,-6.134506,-5.090731,,
6434,108717.7,114.326971,110.81066,-6.156253,-5.105205000000001,,
6435,108734.6,114.354865,110.82952,-6.177664,-5.11965,,
6436,108751.5,114.383002,110.847388,-6.200351,-5.142455,,
6437,108768.4,114.411139,110.865744,-6.216829,-5.155661,,
6438,108785.3,114.439215,110.884161,-6.233299,-5.174097,,
6439,108802.2,114.467017,110.902487,-6.247297,-5.188211,,
6440,108819.1,114.495444,110.921347,-6.262812,-5.204464,,
6441,108836.0,114.523993,110.939841,-6.287298,-5.227221,,
6442,108852.9,114.552176,110.95838,-6.30498,-5.2440999999999995,,
6443,108869.8,114.580176,110.977042,-6.32049,-5.256038,,
6444,108886.7,114.608679,110.9961,-6.339374,-5.273194,,
6445,108903.6,114.635977,111.014655,-6.355498,-5.285138,,
6446,108920.5,114.664343,111.033591,-6.378082,-5.3075410000000005,,
6447,108937.4,114.693396,111.052786,-6.4025,-5.330849,,
6448,108954.3,114.721671,111.071616,-6.419522,-5.3436889999999995,,
6449,108971.2,114.74967,111.090323,-6.441173,-5.361471,,
6450,108988.1,114.778189,111.109351,-6.464655,-5.379239,,
6451,109005.0,114.80683,111.128317,-6.48258,-5.396058999999999,,
6452,109021.9,114.835059,111.147711,-6.494004,-5.409453,,
6453,109038.8,114.863089,111.167288,-6.501097,-5.415141,,
6454,109055.7,114.891394,111.187064,-6.516505,-5.437124000000001,,
6455,109072.6,114.920172,111.205573,-6.543068,-5.463505,,
6456,109089.5,114.94837,111.225073,-6.562487,-5.477836,,
6457,109106.4,114.976416,111.2452,-6.584952,-5.491833000000001,,
6458,109123.3,115.004477,111.264304,-6.604995,-5.50955,,
6459,109140.2,115.032904,111.283301,-6.621031,-5.522651000000001,,
6460,109157.1,115.060736,111.302954,-6.639804,-5.5403199999999995,,
6461,109174.0,115.089285,111.322165,-6.654589,-5.555237,,
6462,109190.9,115.117178,111.342017,-6.663178,-5.559667,,
6463,109207.8,115.145163,111.362006,-6.678842,-5.581602,,
6464,109224.7,115.172919,111.3814,-6.70346,-5.60819,,
6465,109241.6,115.20101,111.400915,-6.719752,-5.622165,,
6466,109258.5,115.22933,111.420844,-6.735712,-5.627524,,
6467,109275.4,115.257269,111.440436,-6.756916,-5.641193,,
6468,109292.3,115.285071,111.460455,-6.779325,-5.661904,,
6469,109309.2,115.313223,111.480383,-6.788192,-5.672439,,
6470,109326.1,115.341101,111.500174,-6.802294,-5.684841,,
6471,109343.0,115.369284,111.521338,-6.812018,-5.693784,,
6472,109359.9,115.397101,111.540579,-6.823064,-5.704969999999999,,
6473,109376.8,115.425345,111.56069,-6.845135,-5.7268740000000005,,
6474,109393.7,115.453192,111.581107,-6.869952,-5.75183,,
6475,109410.6,115.48075,111.600775,-6.88742,-5.759943,,
6476,109427.5,115.508566,111.621191,-6.906998,-5.779662999999999,,
6477,109444.4,115.536276,111.641257,-6.91829,-5.785893,,
6478,109461.3,115.563864,111.661627,-6.935709,-5.80192,,
6479,109478.2,115.591635,111.681708,-6.946378,-5.812736,,
6480,109495.1,115.61965,111.702429,-6.96377,-5.832725,,
6481,109512.0,115.647711,111.722403,-6.979045,-5.849368,,
6482,109528.9,115.675864,111.743292,-6.988434,-5.853396999999999,,
6483,109545.8,115.70336,111.763632,-7.010438,-5.875544,,
6484,109562.7,115.731192,111.783942,-7.02599,-5.887564,,
6485,109579.6,115.759741,111.804862,-7.046418,-5.905696,,
6486,109596.5,115.787665,111.825308,-7.058883,-5.910655,,
6487,109613.4,115.815283,111.84545,-7.073816,-5.921764,,
6488,109630.3,115.842963,111.866446,-7.090542,-5.939862,,
6489,109647.2,115.871542,111.887167,-7.105437,-5.957657,,
6490,109664.1,115.899756,111.907675,-7.116656,-5.969032,,
6491,109681.0,115.928595,111.928564,-7.130614,-5.9852799999999995,,
6492,109697.9,115.956534,111.948874,-7.150117,-5.999124,,
6493,109714.8,115.983893,111.969519,-7.17113,-6.019983,,
6494,109731.7,116.013007,111.990942,-7.185353,-6.028248,,
6495,109748.6,116.041724,112.011832,-7.203583,-6.047548,,
6496,109765.5,116.069663,112.032492,-7.216304,-6.054617,,
6497,109782.4,116.098853,112.05358,-7.226854,-6.067458,,
6498,109799.3,116.126502,112.074652,-7.234337,-6.072348,,
6499,109816.2,116.155066,112.095511,-7.247956,-6.084897,,
6500,109833.1,116.183508,112.116629,-7.265234,-6.099589,,
6501,109850.0,116.212241,112.137839,-7.284951,-6.115187000000001,,
6502,109866.9,116.240912,112.158865,-7.303447,-6.131398000000001,,
6503,109883.8,116.269232,112.179587,-7.317974,-6.143949,,
6504,109900.7,116.298071,112.201056,-7.330621,-6.158583999999999,,
6505,109917.6,116.325873,112.222311,-7.343887,-6.167427999999999,,
6506,109934.5,116.354834,112.243231,-7.351047,-6.1842120000000005,,
6507,109951.4,116.383093,112.26496,-7.360609,-6.1914940000000005,,
6508,109968.3,116.410986,112.285971,-7.375714,-6.204616000000001,,
6509,109985.2,116.4401,112.307379,-7.392016,-6.214372,,
6510,110002.1,116.468726,112.328879,-7.414426,-6.228711,,
6511,110019.0,116.496939,112.350058,-7.428283,-6.244254000000001,,
6512,110035.9,116.525336,112.371725,-7.448531,-6.263751,,
6513,110052.8,116.554022,112.393423,-7.459601,-6.2737680000000005,,
6514,110069.7,116.582571,112.414893,-7.469762,-6.284703,,
6515,110086.6,116.611151,112.436469,-7.481443,-6.300208,,
6516,110103.5,116.63938,112.457938,-7.491599,-6.306561,,
6517,110120.4,116.66767,112.479269,-7.505425,-6.325428,,
6518,110137.3,116.696173,112.50112,-7.519829,-6.333602,,
6519,110154.2,116.724829,112.522788,-7.532407,-6.339342,,
6520,110171.1,116.753104,112.544745,-7.548935,-6.35421,,
6521,110188.0,116.781149,112.566626,-7.563325,-6.362373,,
6522,110204.9,116.8095,112.588583,-7.577401,-6.376009,,
6523,110221.8,116.838019,112.610648,-7.592078,-6.390553,,
6524,110238.7,116.866583,112.632498,-7.610118,-6.405412,,
6525,110255.6,116.894461,112.654394,-7.628456,-6.432443,,
6526,110272.5,116.922461,112.676459,-7.645253,-6.447582000000001,,
6527,110289.4,116.950598,112.698492,-7.657167,-6.4678830000000005,,
6528,110306.3,116.979239,112.719809,-7.672166,-6.473011,,
6529,110323.2,117.007193,112.74259,-7.680982,-6.473484,,
6530,110340.1,117.035819,112.764456,-7.686796,-6.476735,,
6531,110357.0,117.063711,112.786627,-7.69686,-6.488798,,
6532,110373.9,117.092032,112.808386,-7.712125,-6.500587,,
6533,110390.8,117.120963,112.83042,-7.727065,-6.5202539999999996,,
6534,110407.7,117.14884,112.853384,-7.744386,-6.535626000000001,,
6535,110424.6,117.177161,112.874945,-7.761171,-6.557141,,
6536,110441.5,117.205679,112.897223,-7.777911,-6.5731459999999995,,
6537,110458.4,117.233893,112.919653,-7.793419,-6.586702,,
6538,110475.3,117.262686,112.941809,-7.800107,-6.58627,,
6539,110492.2,117.290686,112.964209,-7.804344,-6.5852200000000005,,
6540,110509.1,117.319144,112.986624,-7.813754,-6.59602,,
6541,110526.0,117.347372,113.009344,-7.828318,-6.609846,,
6542,110542.9,117.37525,113.0315,-7.851125,-6.632225999999999,,
6543,110559.8,117.403189,113.054434,-7.863841,-6.6469439999999995,,
6544,110576.7,117.431647,113.076468,-7.873257,-6.655927999999999,,
6545,110593.6,117.460303,113.099448,-7.888397,-6.669123000000001,,
6546,110610.5,117.487631,113.12168,-7.903877,-6.686603999999999,,
6547,110627.4,117.515234,113.14469,-7.908972,-6.6888380000000005,,
6548,110644.3,117.543784,113.166892,-7.920798,-6.696598,,
6549,110661.2,117.571661,113.189734,-7.930153,-6.702799,,
6550,110678.1,117.599875,113.211813,-7.944107,-6.716025,,
6551,110695.0,117.627341,113.235052,-7.957687,-6.727965,,
6552,110711.9,117.655722,113.25759,-7.972215,-6.734796,,
6553,110728.8,117.683829,113.280386,-7.991279,-6.75252,,
6554,110745.7,117.711661,113.303076,-8.007306,-6.771162,,
6555,110762.6,117.739432,113.326025,-8.021188,-6.7840110000000005,,
6556,110779.5,117.767569,113.348822,-8.031431,-6.798680999999999,,
6557,110796.4,117.795706,113.371497,-8.042285,-6.80851,,
6558,110813.3,117.823996,113.394873,-8.049757,-6.819795999999999,,
6559,110830.2,117.851538,113.417487,-8.058483,-6.829007000000001,,
6560,110847.1,117.879858,113.440466,-8.069007,-6.825485999999999,,
6561,110864.0,117.908423,113.462973,-8.085926,-6.842287000000001,,
6562,110880.9,117.936331,113.485922,-8.093107,-6.8487469999999995,,
6563,110897.8,117.965491,113.509283,-8.109361,-6.864283,,
6564,110914.7,117.993033,113.532233,-8.11775,-6.872253999999999,,
6565,110931.6,118.021628,113.555533,-8.139152,-6.895052,,
6566,110948.5,118.050192,113.578589,-8.142071,-6.899366,,
6567,110965.4,118.078482,113.601569,-8.158935,-6.923076999999999,,
6568,110982.3,118.107123,113.624228,-8.171873,-6.933176,,
6569,110999.2,118.135519,113.647894,-8.186869,-6.940796,,
6570,111016.1,118.16413,113.671011,-8.200075,-6.94935,,
6571,111033.0,118.192114,113.694205,-8.214484,-6.961234000000001,,
6572,111049.9,118.220221,113.71691,-8.223769,-6.968592000000001,,
6573,111066.8,118.248358,113.740591,-8.228755,-6.974677,,
6574,111083.7,118.276267,113.763876,-8.231341,-6.975344000000001,,
6575,111100.6,118.3048,113.787115,-8.243615,-6.987507,,
6576,111117.5,118.333579,113.810446,-8.260419,-7.007825,,
6577,111134.4,118.361868,113.833563,-8.273599,-7.020596000000001,,
6578,111151.3,118.390372,113.85726,-8.287043,-7.036341,,
6579,111168.2,118.418616,113.880621,-8.304738,-7.048192,,
6580,111185.1,118.44686,113.903967,-8.316379,-7.057912999999999,,
6581,111202.0,118.475073,113.926962,-8.325618,-7.063426000000001,,
6582,111218.9,118.503241,113.950659,-8.327255,-7.066158,,
6583,111235.8,118.531622,113.97431,-8.334034,-7.070720000000001,,
6584,111252.7,118.559485,113.99761,-8.344155,-7.081035000000001,,
6585,111269.6,118.588034,114.021414,-8.367237,-7.106121999999999,,
6586,111286.5,118.615927,114.044623,-8.374938,-7.116128,,
6587,111303.4,118.643698,114.068228,-8.392884,-7.137887000000001,,
6588,111320.3,118.672522,114.092154,-8.406879,-7.146045,,
6589,111337.2,118.70043,114.115302,-8.419405,-7.155754999999999,,
6590,111354.1,118.72814,114.139563,-8.430352,-7.162678999999999,,
6591,111371.0,118.755408,114.163306,-8.437402,-7.172038000000001,,
6592,111387.9,118.783347,114.187292,-8.442926,-7.172333,,
6593,111404.8,118.811209,114.210944,-8.451788,-7.182898000000001,,
6594,111421.7,118.839102,114.234808,-8.470893,-7.2121390000000005,,
6595,111438.6,118.867117,114.258856,-8.485456,-7.224791,,
6596,111455.5,118.894736,114.282263,-8.498544,-7.233562000000001,,
6597,111472.4,118.922659,114.306174,-8.510694,-7.241997000000001,,
6598,111489.3,118.950339,114.329413,-8.516547,-7.241118999999999,,
6599,111506.2,118.977805,114.353537,-8.530486,-7.254658,,
6600,111523.1,119.006018,114.377493,-8.535086,-7.259455,,
6601,111540.0,119.033698,114.40174,-8.542079,-7.265146,,
6602,111556.9,119.06156,114.425146,-8.551831,-7.276003,,
6603,111573.8,119.089514,114.449301,-8.565151,-7.294639,,
6604,111590.7,119.117362,114.473471,-8.570032,-7.297009999999999,,
6605,111607.6,119.145148,114.497092,-8.591508,-7.315074999999999,,
6606,111624.5,119.172736,114.521338,-8.61023,-7.328887999999999,,
6607,111641.4,119.200446,114.545889,-8.610562,-7.325514999999999,,
6608,111658.3,119.228354,114.56925,-8.624812,-7.338466,,
6609,111675.2,119.256705,114.593268,-8.627883,-7.342342,,
6610,111692.1,119.284384,114.617545,-8.64478,-7.359141000000001,,
6611,111709.0,119.312598,114.641913,-8.648126,-7.3680959999999995,,
6612,111725.9,119.34017,114.665503,-8.659039,-7.38642,,
6613,111742.8,119.368735,114.689505,-8.667818,-7.387897000000001,,
6614,111759.7,119.396521,114.713553,-8.678396,-7.396875999999999,,
6615,111776.6,119.425101,114.737982,-8.692255,-7.4004319999999995,,
6616,111793.5,119.453802,114.762137,-8.70342,-7.4112029999999995,,
6617,111810.4,119.482428,114.785941,-8.714303,-7.423489999999999,,
6618,111827.3,119.510718,114.810309,-8.724847,-7.435740000000001,,
6619,111844.2,119.538886,114.834769,-8.739589,-7.454288,,
6620,111861.1,119.567404,114.858908,-8.741128,-7.456632,,
6621,111878.0,119.596274,114.883337,-8.753762,-7.472772,,
6622,111894.9,119.624564,114.907599,-8.767303,-7.482019,,
6623,111911.8,119.653632,114.931479,-8.781463,-7.496681000000001,,
6624,111928.7,119.682517,114.955801,-8.788987,-7.49812,,
6625,111945.6,119.711798,114.980551,-8.802486,-7.50553,,
6626,111962.5,119.740164,115.005011,-8.811797,-7.515951,,
6627,111979.4,119.769003,115.028982,-8.817234,-7.518294999999999,,
6628,111996.3,119.797415,115.053366,-8.823844,-7.523318,,
6629,112013.2,119.826315,115.077704,-8.832255,-7.5373280000000005,,
6630,112030.1,119.85517,115.102499,-8.846333,-7.555511999999999,,
6631,112047.0,119.883246,115.126532,-8.860453,-7.569235,,
6632,112063.9,119.912375,115.15148,-8.874513,-7.578118,,
6633,112080.8,119.940863,115.176154,-8.883489,-7.581018000000001,,
6634,112097.7,119.969138,115.201071,-8.901138,-7.598275999999999,,
6635,112114.6,119.998526,115.225134,-8.90595,-7.603298000000001,,
6636,112131.5,120.0268,115.24967,-8.906836,-7.607689000000001,,
6637,112148.4,120.055106,115.274085,-8.911923,-7.609392,,
6638,112165.3,120.083533,115.2992,-8.932239,-7.637099999999999,,
6639,112182.2,120.112036,115.324011,-8.944483,-7.653741,,
6640,112199.1,120.140143,115.348288,-8.963043,-7.6656320000000004,,
6641,112216.0,120.168692,115.372748,-8.976198,-7.673917,,
6642,112232.9,120.19747,115.397406,-8.986043,-7.678590000000001,,
6643,112249.8,120.225043,115.42153,-8.992029,-7.68449,,
6644,112266.7,120.253775,115.447165,-8.995525,-7.6867030000000005,,
6645,112283.6,120.281287,115.471701,-9.003875,-7.693774000000001,,
6646,112300.5,120.309897,115.495902,-9.014935,-7.705349999999999,,
6647,112317.4,120.337942,115.521368,-9.027109,-7.723412,,
6648,112334.3,120.36582,115.545905,-9.040831,-7.740626000000001,,
6649,112351.2,120.394324,115.571646,-9.048495,-7.746414000000001,,
6650,112368.1,120.422385,115.595389,-9.063754,-7.755019999999999,,
6651,112385.0,120.450613,115.620505,-9.079221,-7.768908000000001,,
6652,112401.9,120.478919,115.645392,-9.091111,-7.776541,,
6653,112418.8,120.506796,115.670172,-9.103602,-7.789846000000001,,
6654,112435.7,120.534857,115.695425,-9.116059,-7.805495,,
6655,112452.6,120.562674,115.720389,-9.133309,-7.819975,,
6656,112469.5,120.591208,115.745215,-9.146082,-7.839827,,
6657,112486.4,120.619177,115.770132,-9.155264,-7.8477310000000005,,
6658,112503.3,120.647192,115.795309,-9.163829,-7.855015,,
6659,112520.2,120.675619,115.819647,-9.167371,-7.854304999999999,,
6660,112537.1,120.703726,115.844946,-9.174432,-7.859197999999999,,
6661,112554.0,120.731711,115.869986,-9.186877,-7.869772000000001,,
6662,112570.9,120.760153,115.8944,-9.201743,-7.884855,,
6663,112587.8,120.788016,115.919531,-9.217156,-7.901673999999999,,
6664,112604.7,120.816016,115.944846,-9.233148,-7.923247,,
6665,112621.6,120.844321,115.969763,-9.240813,-7.934104,,
6666,112638.5,120.872198,115.995017,-9.251733,-7.939877,,
6667,112655.4,120.900412,116.01998,-9.256708,-7.947153,,
6668,112672.3,120.92829,116.044821,-9.262881,-7.946701,,
6669,112689.2,120.9569,116.070609,-9.271971,-7.959279,,
6670,112706.1,120.984503,116.095267,-9.284704,-7.964193,,
6671,112723.0,121.012473,116.120764,-9.305122,-7.986612000000001,,
6672,112739.9,121.040854,116.146033,-9.312745,-7.9935659999999995,,
6673,112756.8,121.069464,116.171057,-9.323655,-8.002609,,
6674,112773.7,121.09632,116.196112,-9.340216,-8.020282,,
6675,112790.6,121.124731,116.221106,-9.349037,-8.023674,,
6676,112807.5,121.152731,116.246161,-9.355174,-8.036867,,
6677,112824.4,121.180884,116.27117,-9.361311,-8.040546,,
6678,112841.3,121.208838,116.296729,-9.370089,-8.05073,,
6679,112858.2,121.236838,116.321661,-9.385149,-8.061551,,
