H2O-NH3 6wt% Specific Heat - Large HF 08Nov22,,,,
Creation Date : 11/11/2022 2:20:15 PM,,,,
User : admin,,,,
,,,,
HeatFlow :,,,,
 Initial Mass : 4538.6 mg,,,,
 Molar Mass : 17 g/mol,,,,
,,,,
Index,Time(s),Furnace Temperature(K),Sample Temperature(K),HeatFlow(mW)
1,0,318.810309,318.22074,-1769.137767
2,17.7,318.747843,318.217318,-1769.142137
3,35.4,318.690958,318.215426,-1769.144553
4,53.1,318.637843,318.212996,-1679.085371
5,70.8,318.588408,318.210429,-1583.827883
6,88.5,318.541625,318.208739,-1493.796624
7,106.2,318.498091,318.207125,-1408.872812
8,123.9,318.455435,318.205115,-1328.784074
9,141.6,318.415049,318.202807,-1253.30256
10,159.3,318.375979,318.201136,-1182.117499
11,177,318.337344,318.198824,-1115.041368
12,194.7,318.300242,318.197154,-1051.779873
13,212.4,318.263953,318.194666,-992.122111
14,230.1,318.228602,318.193156,-935.888659
15,247.8,318.194048,318.190306,-882.811658
16,265.5,318.16017,318.187979,-832.78285
17,283.2,318.126852,318.186167,-785.584158
18,300.9,318.094504,318.183459,-741.054228
19,318.6,318.061823,318.180651,-699.045728
20,336.3,318.030074,318.178145,-659.441046
21,354,317.999064,318.17496,-622.050209
22,371.7,317.96823,318.171637,-586.770665
23,389.4,317.938216,318.16873,-553.507172
24,407.1,317.908656,318.165865,-522.114726
25,424.8,317.879317,318.162737,-492.487885
26,442.5,317.850733,318.159155,-464.53505
27,460.2,317.821951,318.155714,-438.160301
28,477.9,317.793505,318.151911,-413.272151
29,495.6,317.765662,318.148688,-389.800842
30,513.3,317.73839,318.144327,-367.645449
31,531,317.712016,318.139868,-346.724868
32,548.7,317.685206,318.137042,-326.989254
33,566.4,317.658392,318.131785,-308.377332
34,584.1,317.632517,318.127249,-290.789122
35,601.8,317.606543,318.122752,-274.203399
36,619.5,317.580408,318.117495,-258.556714
37,637.2,317.555407,318.113654,-243.780619
38,654.9,317.529692,318.108519,-229.828407
39,672.6,317.504752,318.104159,-216.66279
40,690.3,317.480448,318.098147,-204.243279
41,708,317.455508,318.093092,-192.518893
42,725.7,317.430884,318.087637,-181.449499
43,743.4,317.40634,318.083021,-170.998669
44,761.1,317.382834,318.076949,-161.132429
45,778.8,317.358134,318.071177,-151.814636
46,796.5,317.334666,318.065325,-143.023398
47,814.2,317.311179,318.059134,-134.721972
48,831.9,317.287989,318.052645,-126.88386
49,849.6,317.263922,318.046633,-119.484171
50,867.3,317.240954,318.040366,-112.497018
51,885,317.217207,318.033778,-105.899448
52,902.7,317.194296,318.027167,-99.666464
53,920.4,317.170092,318.02064,-93.779676
54,938.1,317.147322,318.014349,-88.220347
55,955.8,317.124392,318.007563,-82.968117
56,973.5,317.100905,318.000616,-78.008278
57,991.2,317.078135,317.993769,-73.317024
58,1008.9,317.054049,317.986163,-68.888671
59,1026.6,317.0306,317.978163,-64.703111
60,1044.3,317.007033,317.971018,-60.748994
61,1062,316.983069,317.963412,-57.007982
62,1079.7,316.95954,317.955691,-53.475845
63,1097.4,316.936293,317.94781,-50.135718
64,1115.1,316.911471,317.939906,-46.970883
65,1132.8,316.886889,317.932062,-43.982698
66,1150.5,316.863062,317.923384,-41.157351
67,1168.2,316.838042,317.914847,-38.481988
68,1185.9,316.813361,317.907141,-35.950349
69,1203.6,316.788123,317.898524,-33.55523
70,1221.3,316.762663,317.889986,-31.285807
71,1239,316.737387,317.882025,-29.139196
72,1256.7,316.711352,317.873064,-27.104808
73,1274.4,316.685015,317.863432,-25.179257
74,1292.1,316.658305,317.854117,-23.354763
75,1309.8,316.63167,317.845778,-21.623892
76,1327.5,316.605078,317.835806,-19.983652
77,1345.2,316.576556,317.826727,-18.428603
78,1362.9,316.54859,317.816676,-16.952359
79,1380.6,316.520445,317.807619,-15.551522
80,1398.3,316.49174,317.79711,-14.220384
81,1416,316.462221,317.786761,-12.958589
82,1433.7,316.433005,317.776129,-11.757367
83,1451.4,316.402331,317.765959,-10.616543
84,1469.1,316.371817,317.755728,-9.530892
85,1486.8,316.340803,317.744761,-8.499239
86,1504.5,316.309256,317.734648,-7.514822
87,1522.2,316.277548,317.723025,-6.583732
88,1539.9,316.244784,317.71176,-5.692456
89,1557.6,316.211844,317.700613,-4.843361
90,1575.3,316.178004,317.689406,-4.033917
91,1593,316.143412,317.678137,-3.261086
92,1610.7,316.109175,317.666518,-2.523181
93,1628.4,316.074301,317.654334,-1.811596
94,1646.1,316.038096,317.641196,-1.130718
95,1663.8,316.001887,317.629115,-0.482572
96,1681.5,315.964407,317.616854,0.131995
97,1699.2,315.926569,317.604693,0.731383
98,1716.9,315.888449,317.591574,1.301411
99,1734.6,315.8492,317.577818,1.853558
100,1752.3,315.80929,317.565062,2.380396
101,1770,315.768965,317.551047,2.889015
102,1787.7,315.728297,317.537989,3.381268
103,1805.4,315.686301,317.523161,3.853111
104,1823.1,315.643763,317.509924,4.309935
105,1840.8,315.601088,317.495058,4.754789
106,1858.5,315.556818,317.480227,5.182096
107,1876.2,315.512072,317.466155,5.600293
108,1893.9,315.466948,317.450648,6.005169
109,1911.6,315.420054,317.434985,6.398913
110,1929.3,315.372702,317.420313,6.782026
111,1947,315.324393,317.404711,7.156373
112,1964.7,315.274611,317.388129,7.525164
113,1982.4,315.225378,317.372263,7.883829
114,2000.1,315.173537,317.355387,8.231368
115,2017.8,315.120718,317.338984,8.578235
116,2035.5,315.067423,317.322226,8.916336
117,2053.2,315.01282,317.305186,9.2509
118,2070.9,314.956782,317.287192,9.57535
119,2088.6,314.899588,317.269438,9.899301
120,2106.3,314.840926,317.250429,10.216684
121,2124,314.781206,317.231917,10.531033
122,2141.7,314.718768,317.213782,10.839816
123,2159.4,314.656084,317.194197,11.145074
124,2177.1,314.592173,317.174513,11.450172
125,2194.8,314.52677,317.15592,11.7551
126,2212.5,314.458838,317.134921,12.058203
127,2230.2,314.390948,317.11426,12.357088
128,2247.9,314.319735,317.093043,12.658184
129,2265.6,314.248923,317.071802,12.958614
130,2283.3,314.174769,317.050425,13.260406
131,2301,314.100157,317.027953,13.561036
132,2318.7,314.023516,317.005362,13.862521
133,2336.4,313.945246,316.982951,14.167056
134,2354.1,313.865523,316.958666,14.47601
135,2371.8,313.784289,316.935019,14.785645
136,2389.5,313.700732,316.910776,15.097829
137,2407.2,313.616373,316.887087,15.41289
138,2424.9,313.52989,316.861449,15.73305
139,2442.6,313.442374,316.835295,16.053906
140,2460.3,313.35253,316.808981,16.380855
141,2478,313.262049,316.78261,16.711197
142,2495.7,313.168543,316.75524,17.0468
143,2513.4,313.07371,316.727812,17.383769
144,2531.1,312.978514,316.699366,17.727352
145,2548.8,312.880797,316.670107,18.078899
146,2566.5,312.781584,316.641406,18.432817
147,2584.2,312.680464,316.611845,18.79386
148,2601.9,312.578433,316.581133,19.161184
149,2619.6,312.474768,316.550322,19.5341
150,2637.3,312.369391,316.519469,19.914976
151,2655,312.26195,316.486128,20.300128
152,2672.7,312.154288,316.45434,20.695413
153,2690.4,312.043642,316.421198,21.096988
154,2708.1,311.932627,316.387122,21.506033
155,2725.8,311.819491,316.352827,21.919494
156,2743.5,311.705283,316.317515,22.34178
157,2761.2,311.590342,316.282244,22.774394
158,2778.9,311.472754,316.2461,23.209748
159,2796.6,311.354414,316.208239,23.653607
160,2814.3,311.23506,316.171576,24.106425
161,2832,311.113997,316.132719,24.565221
162,2849.7,310.991167,316.094107,25.036377
163,2867.4,310.86822,316.054892,25.515176
164,2885.1,310.743384,316.014449,25.999603
165,2902.8,310.617793,315.97394,26.499104
166,2920.5,310.491286,315.932719,27.003718
167,2938.2,310.363211,315.889605,27.511446
168,2955.9,310.234042,315.84669,28.027148
169,2973.6,310.104876,315.803896,28.550825
170,2991.3,309.974001,315.759032,29.078806
171,3009,309.842032,315.714285,29.61764
172,3026.7,309.709307,315.669081,30.16007
173,3044.4,309.575732,315.623659,30.711841
174,3062.1,309.441916,315.576186,31.267922
175,3079.8,309.305853,315.528418,31.829973
176,3097.5,309.170649,315.479628,32.40595
177,3115.2,309.034129,315.431441,32.981617
178,3132.9,308.897711,315.381499,33.571572
179,3150.6,308.759646,315.330942,34.164636
180,3168.3,308.620844,315.280463,34.764338
181,3186,308.481676,315.228999,35.371382
182,3203.7,308.342158,315.176321,35.981722
183,3221.4,308.201662,315.123621,36.596846
184,3239.1,308.060969,315.069533,37.218659
185,3256.8,307.919878,315.015402,37.845763
186,3274.5,307.777956,314.960478,38.475654
187,3292.2,307.635554,314.905215,39.113388
188,3309.9,307.493075,314.848463,39.761878
189,3327.6,307.349703,314.791331,40.413483
190,3345.3,307.206393,314.733641,41.066853
191,3363,307.063437,314.675196,41.723352
192,3380.7,306.918913,314.61735,42.383107
193,3398.4,306.775343,314.556658,43.050124
194,3416.1,306.630183,314.496283,43.715836
195,3433.8,306.485045,314.43577,44.387879
196,3451.5,306.339529,314.374304,45.062561
197,3469.2,306.193934,314.312102,45.740039
198,3486.9,306.048476,314.24956,46.422671
199,3504.6,305.901732,314.185309,47.104589
200,3522.3,305.754942,314.121951,47.792298
201,3540,305.608893,314.056845,48.474557
202,3557.7,305.462534,313.991881,49.173806
203,3575.4,305.315039,313.926058,49.8713
204,3593.1,305.168063,313.859183,50.570434
205,3610.8,305.020785,313.791548,51.262393
206,3628.5,304.87323,313.724215,51.959998
207,3646.2,304.726271,313.655966,52.663308
208,3663.9,304.578558,313.587183,53.361469
209,3681.6,304.431063,313.517123,54.062302
210,3699.3,304.282498,313.446906,54.763047
211,3717,304.13534,313.376254,55.468808
212,3734.7,303.987528,313.304781,56.169604
213,3752.4,303.83936,313.232817,56.872194
214,3770.1,303.691508,313.159674,57.572723
215,3787.8,303.543677,313.087408,58.276002
216,3805.5,303.394694,313.013377,58.977586
217,3823.2,303.246764,312.939223,59.675702
218,3840.9,303.097544,312.864233,60.372761
219,3858.6,302.950169,312.788905,61.070426
220,3876.3,302.801465,312.713297,61.766839
221,3894,302.65272,312.636797,62.461858
222,3911.7,302.503699,312.559401,63.159043
223,3929.4,302.355133,312.481768,63.847863
224,3947.1,302.206824,312.403674,64.541192
225,3964.8,302.058167,312.324488,65.232138
226,3982.5,301.910103,312.245524,65.924682
227,4000.2,301.761505,312.167033,66.607632
228,4017.9,301.613026,312.085661,67.291333
229,4035.6,301.464369,312.004645,67.970197
230,4053.3,301.316185,311.923212,68.647652
231,4071,301.167668,311.841841,69.326044
232,4088.7,301.019644,311.760153,69.997428
233,4106.4,300.871422,311.677294,70.667446
234,4124.1,300.72316,311.593676,71.336583
235,4141.8,300.575453,311.509764,72.003966
236,4159.5,300.42733,311.425932,72.6689
237,4177.2,300.279446,311.341223,73.325502
238,4194.9,300.13069,311.2559,73.980195
239,4212.6,299.984349,311.170615,74.629055
240,4230.3,299.83593,311.084437,75.279419
241,4248,299.688559,310.997603,75.921431
242,4265.7,299.540951,310.910712,76.564745
243,4283.4,299.393364,310.823363,77.20054
244,4301.1,299.245875,310.73633,77.836246
245,4318.8,299.098723,310.647608,78.466554
246,4336.5,298.951735,310.558691,79.094431
247,4354.2,298.804825,310.469511,79.720382
248,4371.9,298.657713,310.37974,80.335275
249,4389.6,298.510823,310.289828,80.950616
250,4407.3,298.365216,310.199576,81.560305
251,4425,298.218739,310.108096,82.170682
252,4442.7,298.072974,310.017168,82.772798
253,4460.4,297.927111,309.925688,83.373023
254,4478.1,297.781603,309.83359,83.96523
255,4495.8,297.635582,309.740698,84.554027
256,4513.5,297.490391,309.647723,85.140893
257,4531.2,297.345458,309.55527,85.723067
258,4548.9,297.20011,309.460806,86.296474
259,4566.6,297.055888,309.367041,86.871293
260,4584.3,296.911253,309.272539,87.436073
261,4602,296.767269,309.177561,87.997926
262,4619.7,296.622633,309.082224,88.55702
263,4637.4,296.479758,308.986712,89.114181
264,4655.1,296.336388,308.890658,89.661286
265,4672.8,296.19278,308.794749,90.206948
266,4690.5,296.049529,308.698485,90.744402
267,4708.2,295.907248,308.602305,91.279909
268,4725.9,295.764847,308.503828,91.807704
269,4743.6,295.622538,308.406779,92.331403
270,4761.3,295.481875,308.30905,92.850158
271,4779,295.339552,308.211287,93.36339
272,4796.7,295.1981,308.112788,93.870834
273,4814.4,295.057732,308.014349,94.377004
274,4832.1,294.917366,307.915037,94.873979
275,4849.8,294.775973,307.815962,95.372061
276,4867.5,294.635865,307.716174,95.85906
277,4885.2,294.495835,307.616286,96.343614
278,4902.9,294.35624,307.515997,96.822684
279,4920.6,294.217356,307.415514,97.299817
280,4938.3,294.078593,307.314696,97.765506
281,4956,293.939452,307.21308,98.22914
282,4973.7,293.8013,307.112238,98.689395
283,4991.4,293.663128,307.010584,99.143174
284,5009.1,293.525076,306.908492,99.593851
285,5026.8,293.386767,306.806719,100.037262
286,5044.5,293.249148,306.704966,100.474646
287,5062.2,293.112025,306.602854,100.906186
288,5079.9,292.974684,306.499312,101.33215
289,5097.6,292.837897,306.396109,101.75579
290,5115.3,292.701346,306.292906,102.172362
291,5133,292.564242,306.189288,102.585483
292,5150.7,292.428137,306.085471,102.99139
293,5168.4,292.29184,305.981436,103.395188
294,5186.1,292.156531,305.877756,103.797331
295,5203.8,292.020707,305.774054,104.186615
296,5221.5,291.88439,305.66873,104.572388
297,5239.2,291.749377,305.563742,104.955656
298,5256.9,291.614006,305.459303,105.333328
299,5274.6,291.478203,305.353941,105.704697
300,5292.3,291.343151,305.24864,106.071882
301,5310,291.208039,305.143752,106.435706
302,5327.7,291.073302,305.037796,106.791346
303,5345.4,290.938723,304.932097,107.148761
304,5363.1,290.803669,304.825764,107.498124
305,5380.8,290.669011,304.718995,107.847611
306,5398.5,290.535044,304.613295,108.187869
307,5416.2,290.400919,304.506308,108.523374
308,5433.9,290.266775,304.400013,108.853956
309,5451.6,290.133046,304.292807,109.181967
310,5469.3,289.999947,304.186356,109.502134
311,5487,289.866692,304.078179,109.82016
312,5504.7,289.734028,303.970755,110.13631
313,5522.4,289.600634,303.862994,110.447793
314,5540.1,289.468169,303.755589,110.753511
315,5557.8,289.334952,303.64757,111.054246
316,5575.5,289.202818,303.538779,111.349327
317,5593.2,289.070574,303.431275,111.640249
318,5610.9,288.938627,303.322464,111.924725
319,5628.6,288.806659,303.213394,112.206903
320,5646.3,288.674751,303.105097,112.484635
321,5664,288.543414,302.995791,112.763228
322,5681.7,288.412571,302.887118,113.032081
323,5699.4,288.28084,302.777176,113.299605
324,5717.1,288.14986,302.667828,113.566453
325,5734.8,288.0188,302.558661,113.825492
326,5752.5,287.888134,302.448977,114.080555
327,5770.2,287.757331,302.339768,114.334944
328,5787.9,287.626706,302.229405,114.582522
329,5805.6,287.496475,302.11975,114.826495
330,5823.3,287.366204,302.008767,115.067263
331,5841,287.235558,301.898913,115.303533
332,5858.7,287.105366,301.788424,115.538908
333,5876.4,286.975589,301.677699,115.768383
334,5894.1,286.846878,301.566874,115.998277
335,5911.8,286.716843,301.455574,116.224704
336,5929.5,286.587658,301.345126,116.448526
337,5947.2,286.458295,301.233746,116.667731
338,5964.9,286.329425,301.123417,116.880373
339,5982.6,286.200714,301.011662,117.094781
340,6000.3,286.071864,300.901154,117.304491
341,6018,285.944226,300.788763,117.511901
342,6035.7,285.816138,300.677187,117.715864
343,6053.4,285.68803,300.565787,117.917641
344,6071.1,285.559783,300.453675,118.115788
345,6088.8,285.432661,300.342099,118.311027
346,6106.5,285.304809,300.229472,118.498735
347,6124.2,285.178495,300.118012,118.683118
348,6141.9,285.05015,300.005505,118.870929
349,6159.6,284.924546,299.892718,119.051295
350,6177.3,284.797758,299.780884,119.229723
351,6195,284.670754,299.668534,119.403128
352,6212.7,284.544222,299.555808,119.578686
353,6230.4,284.418125,299.442923,119.744037
354,6248.1,284.291811,299.330355,119.914717
355,6265.8,284.166068,299.217135,120.078674
356,6283.5,284.040405,299.10425,120.238535
357,6301.2,283.913912,298.991511,120.392427
358,6318.9,283.788505,298.87925,120.540484
359,6336.6,283.663393,298.765978,120.691631
360,6354.3,283.537867,298.653044,120.835757
361,6372,283.412933,298.539852,120.980989
362,6389.7,283.28721,298.426897,121.124363
363,6407.4,283.16198,298.312893,121.259501
364,6425.1,283.037144,298.199801,121.396468
365,6442.8,282.912979,298.086668,121.529888
366,6460.5,282.78829,297.973101,121.65963
367,6478.2,282.664103,297.859433,121.786517
368,6495.9,282.540073,297.745846,121.911552
369,6513.6,282.416711,297.632317,122.031991
370,6531.3,282.292642,297.518849,122.152813
371,6549,282.168749,297.404766,122.269118
372,6566.7,282.046019,297.290802,122.385799
373,6584.4,281.922481,297.177472,122.499533
374,6602.1,281.799396,297.06333,122.607224
375,6619.8,281.676133,296.949049,122.717036
376,6637.5,281.553875,296.835778,122.824189
377,6655.2,281.431165,296.721478,122.925162
378,6672.9,281.308317,296.607296,123.027359
379,6690.6,281.185783,296.493016,123.122058
380,6708.3,281.063209,296.379231,123.214324
381,6726,280.94298,296.265227,123.306144
382,6743.7,280.819679,296.151064,123.398187
383,6761.4,280.697716,296.036864,123.485639
384,6779.1,280.575517,295.922623,123.574354
385,6796.8,280.454027,295.807749,123.660077
386,6814.5,280.333069,295.69434,123.741179
387,6832.2,280.210988,295.579695,123.821977
388,6849.9,280.09003,295.466059,123.897855
389,6867.6,279.968166,295.351769,123.975748
390,6885.3,279.84709,295.237242,124.049068
391,6903,279.725522,295.123091,124.123936
392,6920.7,279.604169,295.008881,124.192987
393,6938.4,279.484026,294.895403,124.263862
394,6956.1,279.363519,294.78048,124.327743
395,6973.8,279.243227,294.665875,124.395911
396,6991.5,279.122208,294.551764,124.45976
397,7009.2,279.002134,294.438225,124.524248
398,7026.9,278.881941,294.32263,124.579906
399,7044.6,278.762004,294.208065,124.633245
400,7062.3,278.64252,294.094605,124.683358
401,7080,278.523252,293.981205,124.731245
402,7097.7,278.403492,293.8666,124.773819
403,7115.4,278.284087,293.752508,124.815666
404,7133.1,278.164012,293.638535,124.851496
405,7150.8,278.045157,293.52484,124.883685
406,7168.5,277.926814,293.410866,124.914747
407,7186.2,277.808097,293.297703,124.93899
408,7203.9,277.688455,293.183909,124.956631
409,7221.6,277.569896,293.069342,124.967655
410,7239.3,277.451041,292.955725,124.973234
411,7257,277.331753,292.842522,124.971714
412,7274.7,277.213804,292.728865,124.964235
413,7292.4,277.095362,292.615546,124.954816
414,7310.1,276.977963,292.503327,124.934062
415,7327.8,276.860368,292.390137,124.908796
416,7345.5,276.742379,292.276394,124.878431
417,7363.2,276.624449,292.164036,124.845819
418,7380.9,276.506794,292.051558,124.811172
419,7398.6,276.389159,291.937874,124.777729
420,7416.3,276.273113,291.825692,124.746
421,7434,276.156043,291.712265,124.718075
422,7451.7,276.039308,291.599411,124.701661
423,7469.4,275.922375,291.486063,124.688101
424,7487.1,275.806053,291.372559,124.678724
425,7504.8,275.689455,291.259469,124.674146
426,7522.5,275.573407,291.14626,124.67012
427,7540.2,275.456966,291.032437,124.672082
428,7557.9,275.341528,290.918341,124.678233
429,7575.6,275.224537,290.804577,124.68715
430,7593.3,275.10957,290.69129,124.698092
431,7611,274.993759,290.576935,124.709718
432,7628.7,274.879087,290.46341,124.721255
433,7646.4,274.763609,290.348542,124.737501
434,7664.1,274.648446,290.234662,124.753637
435,7681.8,274.533598,290.120505,124.771918
436,7699.5,274.418533,290.006386,124.787783
437,7717.2,274.304313,289.891657,124.817433
438,7734.9,274.189268,289.779019,124.846308
439,7752.6,274.075088,289.66425,124.871174
440,7770.3,273.960495,289.549717,124.89899
441,7788,273.847061,289.435541,124.922441
442,7805.7,273.732979,289.321602,124.945901
443,7823.4,273.618917,289.20781,124.967268
444,7841.1,273.50566,289.094036,124.988851
445,7858.8,273.3915,288.980241,125.011661
446,7876.5,273.278617,288.865973,125.030762
447,7894.2,273.164888,288.751409,125.049221
448,7911.9,273.05247,288.637122,125.068199
449,7929.6,272.939672,288.523525,125.082093
450,7947.3,272.826246,288.409967,125.094422
451,7965,272.713508,288.295028,125.110786
452,7982.7,272.600553,288.181668,125.128183
453,8000.4,272.487461,288.068327,125.146816
454,8018.1,272.375272,287.954118,125.17165
455,8035.8,272.262809,287.840541,125.191582
456,8053.5,272.149972,287.725996,125.205413
457,8071.2,272.037371,287.612479,125.217747
458,8088.9,271.925516,287.497974,125.226083
459,8106.6,271.813288,287.384693,125.235306
460,8124.3,271.701354,287.270404,125.240696
461,8142,271.589401,287.156551,125.246579
462,8159.7,271.477998,287.043723,125.253718
463,8177.4,271.365554,286.929693,125.265748
464,8195.1,271.254209,286.816431,125.281679
465,8212.8,271.142217,286.702676,125.290072
466,8230.5,271.030873,286.588368,125.293008
467,8248.2,270.919686,286.47485,125.297054
468,8265.9,270.808105,286.362359,125.303244
469,8283.6,270.697389,286.248563,125.303918
470,8301.3,270.586261,286.134947,125.299871
471,8319,270.475113,286.021083,125.292423
472,8336.7,270.364652,285.907838,125.284727
473,8354.4,270.25319,285.794869,125.272485
474,8372.1,270.142946,285.681111,125.262986
475,8389.8,270.031955,285.568102,125.244002
476,8407.5,269.922231,285.45531,125.231609
477,8425.2,269.812273,285.342203,125.223124
478,8442.9,269.70151,285.229845,125.21731
479,8460.6,269.591708,285.116067,125.207386
480,8478.3,269.481966,285.003058,125.190061
481,8496,269.372007,284.889833,125.169116
482,8513.7,269.261441,284.777514,125.143715
483,8531.4,269.151914,284.664465,125.11842
484,8549.1,269.042328,284.551516,125.096959
485,8566.8,268.931801,284.439138,125.072829
486,8584.5,268.823412,284.32607,125.054209
487,8602.2,268.714061,284.213692,125.027834
488,8619.9,268.604554,284.100802,125.007643
489,8637.6,268.495439,283.987971,124.977363
490,8655.3,268.386069,283.875868,124.950126
491,8673,268.277347,283.762367,124.921532
492,8690.7,268.168879,283.650088,124.886316
493,8708.4,268.060078,283.53836,124.852427
494,8726.1,267.950865,283.425017,124.819325
495,8743.8,267.842849,283.312894,124.807498
496,8761.5,267.733891,283.200832,124.787301
497,8779.2,267.62615,283.089164,124.755033
498,8796.9,267.517761,282.97647,124.721351
499,8814.6,267.410372,282.863817,124.68262
500,8832.3,267.302454,282.751739,124.641021
501,8850,267.194124,282.640786,124.594029
502,8867.7,267.087304,282.528611,124.555949
503,8885.4,266.979308,282.416535,124.520836
504,8903.1,266.872488,282.304557,124.497252
505,8920.8,266.765295,282.192322,124.472662
506,8938.5,266.658767,282.081152,124.44444
507,8956.2,266.551401,281.969549,124.412092
508,8973.9,266.444387,281.857965,124.3754
509,8991.6,266.337766,281.746165,124.332452
510,9009.3,266.231223,281.634245,124.287085
511,9027,266.124209,281.523311,124.235292
512,9044.7,266.017842,281.412023,124.177264
513,9062.4,265.911476,281.300793,124.126393
514,9080.1,265.805109,281.189288,124.077502
515,9097.8,265.698879,281.07859,124.032338
516,9115.5,265.592473,280.967144,123.986422
517,9133.2,265.48595,280.856328,123.934822
518,9150.9,265.37974,280.744645,123.880904
519,9168.6,265.273471,280.633869,123.827914
520,9186.3,265.167241,280.523369,123.771558
521,9204,265.060914,280.412631,123.712622
522,9221.7,264.954626,280.301835,123.654745
523,9239.4,264.848572,280.190133,123.603314
524,9257.1,264.742245,280.078766,123.557784
525,9274.8,264.635898,279.969387,123.517748
526,9292.5,264.529668,279.858118,123.466444
527,9310.2,264.423988,279.748051,123.411285
528,9327.9,264.317346,279.637314,123.371824
529,9345.6,264.211979,279.52731,123.32631
530,9363.3,264.105828,279.416286,123.279899
531,9381,264.0005,279.306875,123.231326
532,9398.7,263.894251,279.195536,123.166058
533,9416.4,263.789413,279.085869,123.092636
534,9434.1,263.68385,278.976045,123.01977
535,9451.8,263.577914,278.866379,122.946004
536,9469.5,263.47215,278.756495,122.873147
537,9487.2,263.367064,278.646357,122.814883
538,9504.9,263.261841,278.536749,122.758652
539,9522.6,263.1565,278.427082,122.701731
540,9540.3,263.051551,278.316668,122.638431
541,9558,262.946347,278.207257,122.574806
542,9575.7,262.840928,278.096666,122.523482
543,9593.4,262.736019,277.98696,122.470971
544,9611.1,262.63099,277.878021,122.40693
545,9628.8,262.525982,277.768059,122.340945
546,9646.5,262.42121,277.658924,122.278167
547,9664.2,262.316064,277.549277,122.223204
548,9681.9,262.211448,277.439728,122.159972
549,9699.6,262.106655,277.330986,122.106457
550,9717.3,262.001785,277.2213,122.056078
551,9735,261.897717,277.112263,122.005956
552,9752.7,261.792357,277.003658,121.954362
553,9770.4,261.689483,276.894149,121.891664
554,9788.1,261.584808,276.785309,121.813225
555,9805.8,261.479682,276.676016,121.735731
556,9823.5,261.376104,276.567392,121.653546
557,9841.2,261.272271,276.458257,121.578484
558,9858.9,261.167811,276.349515,121.523586
559,9876.6,261.064545,276.240543,121.478755
560,9894.3,260.960223,276.132554,121.422869
561,9912,260.855998,276.023956,121.360753
562,9929.7,260.753222,275.915791,121.292225
563,9947.4,260.649213,275.807252,121.232033
564,9965.1,260.546358,275.698693,121.180296
565,9982.8,260.441899,275.590272,121.126777
566,10000.5,260.339065,275.481929,121.064977
567,10018.2,260.236156,275.37396,120.995545
568,10035.9,260.132973,275.265224,120.933284
569,10053.6,260.030848,275.15757,120.88512
570,10071.3,259.927684,275.049542,120.850591
571,10089,259.826244,274.941769,120.807925
572,10106.7,259.722846,274.833603,120.738181
573,10124.4,259.620446,274.725811,120.664677
574,10142.1,259.518222,274.617705,120.598103
575,10159.8,259.416312,274.510168,120.52649
576,10177.5,259.313893,274.40157,120.463869
577,10195.2,259.212568,274.294957,120.398639
578,10212.9,259.109641,274.187283,120.324764
579,10230.6,259.008043,274.079628,120.242409
580,10248.3,258.90576,273.971974,120.162518
581,10266,258.804103,273.864476,120.088599
582,10283.7,258.702094,273.757097,120.024374
583,10301.4,258.600458,273.649265,119.954038
584,10319.1,258.499193,273.542652,119.888629
585,10336.8,258.397537,273.435293,119.824921
586,10354.5,258.296036,273.328149,119.759951
587,10372.2,258.19391,273.221576,119.69241
588,10389.9,258.093016,273.114622,119.621403
589,10407.6,257.990832,273.00752,119.549354
590,10425.3,257.88982,272.90134,119.479802
591,10443,257.78791,272.794512,119.410888
592,10460.7,257.687447,272.687763,119.340897
593,10478.4,257.585986,272.581033,119.267552
594,10496.1,257.484974,272.474402,119.197893
595,10513.8,257.384492,272.36779,119.135298
596,10531.5,257.283442,272.262082,119.075924
597,10549.2,257.182274,272.155136,119.025422
598,10566.9,257.081961,272.049232,118.969269
599,10584.6,256.982083,271.942639,118.901015
600,10602.3,256.88064,271.836362,118.832542
601,10620,256.780079,271.730477,118.759044
602,10637.7,256.680535,271.624454,118.6845
603,10655.4,256.579954,271.518628,118.604437
604,10673.1,256.479939,271.412527,118.535035
605,10690.8,256.379593,271.306524,118.478544
606,10708.5,256.280028,271.201129,118.414867
607,10726.2,256.179701,271.09548,118.347339
608,10743.9,256.079764,270.989084,118.274792
609,10761.6,255.979496,270.88371,118.206331
610,10779.3,255.879872,270.778099,118.144108
611,10797,255.78019,270.671959,118.085873
612,10814.7,255.680371,270.567056,118.02442
613,10832.4,255.580338,270.461151,117.973418
614,10850.1,255.480578,270.356287,117.927386
615,10867.8,255.380387,270.251717,117.872087
616,10885.5,255.281722,270.145813,117.808503
617,10903.2,255.181864,270.040733,117.730409
618,10920.9,255.082571,269.935712,117.641303
619,10938.6,254.983437,269.830674,117.544915
620,10956.3,254.884556,269.725738,117.454891
621,10974,254.784737,269.621312,117.383943
622,10991.7,254.686482,269.516081,117.320221
623,11009.4,254.587132,269.410772,117.25758
624,11027.1,254.488289,269.306719,117.187277
625,11044.8,254.389193,269.201625,117.105237
626,11062.5,254.290352,269.097847,117.017298
627,11080.2,254.191119,268.993283,116.942442
628,11097.9,254.092493,268.888445,116.876694
629,11115.6,253.993435,268.784411,116.802282
630,11133.3,253.895121,268.680103,116.740878
631,11151,253.796883,268.576265,116.693981
632,11168.7,253.699353,268.47129,116.657402
