T(K),X,m,cp(J/gK),cp_err(%),cpm(J/molK)
258.5,0.14300000000000002,9.797495362804339,4.088039711427711,0.4706965579810458,73.20322956873162
259.5,0.14300000000000002,9.797495362804339,4.0928158851792595,0.4313016713908569,73.28875499614304
260.5,0.14300000000000002,9.797495362804339,4.100483243089803,0.4470042084035291,73.42605194062774
261.5,0.14300000000000002,9.797495362804339,4.10867909033021,0.4472656469408226,73.5728123757998
262.5,0.14300000000000002,9.797495362804339,4.117249925105237,0.3906455798289999,73.72628759373325
263.5,0.14300000000000002,9.797495362804339,4.122821970359963,0.3183076190007022,73.82606443954246
264.5,0.14300000000000002,9.797495362804339,4.126189967457406,0.27284224045910666,73.88637409456409
265.5,0.14300000000000002,9.797495362804339,4.12887620907281,0.2722359830324967,73.93447577055804
266.5,0.14300000000000002,9.797495362804339,4.131412831378927,0.35952035899391543,73.97989826106976
267.5,0.14300000000000002,9.797495362804339,4.135884155757931,0.43773755460299124,74.05996484752623
268.5,0.14300000000000002,9.797495362804339,4.144258962008619,0.4990912858282547,74.20992984489381
269.5,0.14300000000000002,9.797495362804339,4.1569844399215565,0.600106697633684,74.43780093881408
270.5,0.14300000000000002,9.797495362804339,4.171418101524164,0.6217003158489406,74.69625993588778
271.5,0.14300000000000002,9.797495362804339,4.185200618748214,0.5453350141948764,74.94305909724787
272.5,0.14300000000000002,9.797495362804339,4.196828392751265,0.39497300788710826,75.15127395566505
273.5,0.14300000000000002,9.797495362804339,4.206329432709192,0.26784819570330326,75.32140606256156
274.5,0.14300000000000002,9.797495362804339,4.21308790807495,0.23902386437203008,75.4424279357961
275.5,0.14300000000000002,9.797495362804339,4.218883619735428,0.27400978651335695,75.5462099049414
276.5,0.14300000000000002,9.797495362804339,4.225254769918127,0.30669574239011504,75.66029606905992
277.5,0.14300000000000002,9.797495362804339,4.233267728021885,0.33770751917694436,75.80378156651102
278.5,0.14300000000000002,9.797495362804339,4.243541545079575,0.4229509537442798,75.98775154765353
279.5,0.14300000000000002,9.797495362804339,4.254727664384747,0.4682767449055437,76.18805783557698
280.5,0.14300000000000002,9.797495362804339,4.265225982317023,0.44529770328816676,76.37604788262415
281.5,0.14300000000000002,9.797495362804339,4.27472106406826,0.34480863224416786,76.54607329780458
282.5,0.14300000000000002,9.797495362804339,4.283119302954897,0.20818623316001916,76.69645789594658
283.5,0.14300000000000002,9.797495362804339,4.289333078632617,0.18372084983572234,76.80772600475511
284.5,0.14300000000000002,9.797495362804339,4.294557804089019,0.2191153319910647,76.90128350517504
285.5,0.14300000000000002,9.797495362804339,4.3012033805805565,0.27619904981990484,77.02028373410303
286.5,0.14300000000000002,9.797495362804339,4.309777557509326,0.3292997188419753,77.17381879892275
287.5,0.14300000000000002,9.797495362804339,4.318391548484294,0.32811383194782157,77.32806680123076
288.5,0.14300000000000002,9.797495362804339,4.326602474824993,0.32838182002538363,77.47509725306564
289.5,0.14300000000000002,9.797495362804339,4.334562023741788,0.28131175152389165,77.61762636915786
290.5,0.14300000000000002,9.797495362804339,4.34006757600147,0.19939590393806295,77.7162125460097
291.5,0.14300000000000002,9.797495362804339,4.342356289152485,0.17566607756503055,77.75719580596737
292.5,0.14300000000000002,9.797495362804339,4.341831016903669,0.2127225509817561,77.74778992252924
293.5,0.14300000000000002,9.797495362804339,4.342073939285842,0.29070486162051706,77.75213985652324
294.5,0.14300000000000002,9.797495362804339,4.348803728486389,0.4852861846769485,77.87264805570234
295.5,0.14300000000000002,9.797495362804339,4.360606795181535,0.7073083006896751,78.08400182471895
296.5,0.14300000000000002,9.797495362804339,4.37409934739336,0.7790787614511887,78.32560867464002
297.5,0.14300000000000002,9.797495362804339,4.389429159920461,0.6283515207116168,78.60011476188033
298.5,0.14300000000000002,9.797495362804339,4.40268849435863,0.3348901666536457,78.83754545515188
299.5,0.14300000000000002,9.797495362804339,4.408840628463846,0.18491782888456373,78.94770976788662
300.5,0.14300000000000002,9.797495362804339,4.4087468790295095,0.231999577945741,78.94603102652202
301.5,0.14300000000000002,9.797495362804339,4.405236527578078,0.34203621414282753,78.88317227726678
302.5,0.14300000000000002,9.797495362804339,4.400438607426357,0.42408814987330795,78.79725744396977
303.5,0.14300000000000002,9.797495362804339,4.396110978781222,0.4183555725595281,78.71976397141067
304.5,0.14300000000000002,9.797495362804339,4.393055611326734,0.3100719631951463,78.66505247617678
305.5,0.14300000000000002,9.797495362804339,4.392875053287299,0.23216630332304494,78.66181928067375
306.5,0.14300000000000002,9.797495362804339,4.39640620094785,0.2428218755328965,78.72505042104497
307.5,0.14300000000000002,9.797495362804339,4.402584826353379,0.24096195961505465,78.83568910508606
308.5,0.14300000000000002,9.797495362804339,4.40905482809748,0.2167103131819852,78.95154537273913
309.5,0.14300000000000002,9.797495362804339,4.414237584324527,0.19099405218914678,79.04435134349005
310.5,0.14300000000000002,9.797495362804339,4.419142225706596,0.17939048117244283,79.13217719998558
